R000,,Датчик нуля оси X,,
R001,,Датчик нуля оси Y,,
R002,,Датчик нуля оси Z,,
R003,,Исходное положение цилиндра захвата оси Z,,
R004,,Рабочее положение цилиндра захвата оси Z,,
R005,,Рабочее положение цилиндра захвата для опрокидывания,,
R006,,Рабочее положение цилиндра захвата графитовой тарелки,,
R007,,Сигнал необходимости повышения давления в газовом баллоне,,
R008,,Рабочее положение цилиндра захвата поддона,,
R009,,Ось переворота в позиции графитовой тарелки,,
R010,,Ось переворота в позиции поддона,,
R011,,Реле связи точного взвешивания - притянуто,,
R012,,Сигнал состояния вакуума вакуумной камеры,,
R013,,Сигнал состояния сброса давления вакуумной камеры,,
R014,,Сигнал работы плавильной печи,,
R015,,Сигнал ошибки плавильной печи,,
R100,,Сигнал состояния открытия заслонки,,
R101,,Датчик позиции поддона,,
R102,,Датчик позиции графитовой тарелки,,
R103,,Датчик позиции грубого взвешивания,,
R104,,Датчик нуля оси переворота,,
R105,,Датчик позиции установки вакуумной крышки,,
R106,,Датчик позиции точного взвешивания,,
R107,,Контакт состояния закрытия двери оборудования,,
R108,,Датчик позиции извлечения поддона,,
R109,,Датчик позиции заслонки,,
R110,,Датчик состояния закрытия заслонки,,
R111,,Датчик позиции чистого золота,,
R112,,Световой барьер у входа заслонки,,
R113,,Датчик определения поднятия захвата оси Z,,
R114,,Датчик исходного положения опрокидывания поддона,,
R115,,Датчик рабочего положения опрокидывания поддона,,
R200,,Сигнал аварии оси X,,
R201,,Сигнал аварии оси Y,,
R202,,Сигнал аварии оси Z,,
R203,,Позиция размещения золотой графитовой тарелки,,
R507,,Реле связи точного взвешивания,,
R508,,Исходное положение электромагнитного клапана цилиндра захвата графитовой тарелки,,
R509,,Рабочее положение электромагнитного клапана цилиндра захвата графитовой тарелки,,
R510,,Исходное положение электромагнитного клапана цилиндра захвата поддона,,
R511,,Рабочее положение электромагнитного клапана цилиндра захвата поддона,,
R512,,Исходное положение электромагнитного клапана цилиндра захвата оси Z,,
R513,,Рабочее положение электромагнитного клапана цилиндра захвата оси Z,,
R514,,Исходное положение электромагнитного клапана цилиндра захвата для опрокидывания,,
R515,,Рабочее положение электромагнитного клапана цилиндра захвата для опрокидывания,,
R600,,Замок правой двери оборудования (сторона экрана),,
R601,,Замок левой двери оборудования (сторона входа заслонки),,
R602,,Электромагнитный клапан переключения газового баллона,,
R604,,Электромагнит соленоид грубого взвешивания,,
R605,,Циркуляционный насос для системы охлаждения,,
R606,,Циркуляционный насос для водяной головки,,
R607,,Источник света промышленной камеры,,
R1500,,Запуск двигателя толкателя заслонки,,
R1501,,Направление двигателя толкателя заслонки,,
R1502,,Запуск двигателя извлечения поддона,,
R1503,,Направление двигателя извлечения поддона,,
R1504,,Запуск двигателя переворота,,
R1505,,Направление двигателя переворота,,
R1506,,Запуск двигателя опрокидывания,,
R1507,,Направление двигателя опрокидывания,,
R1508,,Питание анализатора золота,,
R1509,,Питание печи,,
R1510,,Питание системы охлаждения,,
R1511,,Электромагнитный клапан продувки печи воздухом для охлаждения,,
R1512,,Питание воздушного компрессора,,
R1513,,Запуск печи для плавления золота,,
R1514,,Электромагнитный клапан вакуумного действия вакуумной камеры,,
R1515,,Электромагнитный клапан сброса давления вакуумной камеры,,
R5009,,Аварийная остановка,,
MR000,,Сброс_HMI,,
MR001,,Начало инициализации,,
MR003,,Завершение возврата в ноль оси X,,
MR008,,Флаг включения,,
